ID,Operation,Start time,End time,Dims,Num Threads
V4R1,"matmul(C,D)",132.8403570652008,135.701101064682,"[3000, 3000, 3000, 3000, 3000]",1
V4R1,"matmul(B,T_CD)",135.701101064682,138.87366914749146,"[3000, 3000, 3000, 3000, 3000]",1
V4R1,"matmul(A,T_BCD)",138.87366914749146,141.8326451778412,"[3000, 3000, 3000, 3000, 3000]",1
V4R2,"matmul(C,D)",141.84956908226013,144.6430971622467,"[3000, 3000, 3000, 3000, 3000]",1
V4R2,"matmul(B,T_CD)",144.6430971622467,147.3629231452942,"[3000, 3000, 3000, 3000, 3000]",1
V4R2,"matmul(A,T_BCD)",147.3629231452942,150.05708503723145,"[3000, 3000, 3000, 3000, 3000]",1
V4R3,"matmul(C,D)",150.0715470314026,152.87466597557068,"[3000, 3000, 3000, 3000, 3000]",1
V4R3,"matmul(B,T_CD)",152.87466597557068,156.28202319145203,"[3000, 3000, 3000, 3000, 3000]",1
V4R3,"matmul(A,T_BCD)",156.28202319145203,159.01934814453125,"[3000, 3000, 3000, 3000, 3000]",1
V4R4,"matmul(C,D)",159.0341501235962,161.88027715682983,"[3000, 3000, 3000, 3000, 3000]",1
V4R4,"matmul(B,T_CD)",161.88027715682983,164.58657097816467,"[3000, 3000, 3000, 3000, 3000]",1
V4R4,"matmul(A,T_BCD)",164.58657097816467,167.28966999053955,"[3000, 3000, 3000, 3000, 3000]",1
V5R0,"matmul(A,B)",167.7266330718994,170.83088397979736,"[3000, 3000, 3000, 3000, 3000]",1
V5R0,"matmul(C,D)",170.83088397979736,173.95623803138733,"[3000, 3000, 3000, 3000, 3000]",1
V5R0,"matmul(T_AB,T_CD)",173.95623803138733,176.7503480911255,"[3000, 3000, 3000, 3000, 3000]",1
V5R1,"matmul(A,B)",176.76551008224487,179.45378303527832,"[3000, 3000, 3000, 3000, 3000]",1
V5R1,"matmul(C,D)",179.45378303527832,182.1283769607544,"[3000, 3000, 3000, 3000, 3000]",1
V5R1,"matmul(T_AB,T_CD)",182.1283769607544,185.07844710350037,"[3000, 3000, 3000, 3000, 3000]",1
V5R2,"matmul(A,B)",185.09226512908936,187.7810971736908,"[3000, 3000, 3000, 3000, 3000]",1
V5R2,"matmul(C,D)",187.7810971736908,190.41528606414795,"[3000, 3000, 3000, 3000, 3000]",1
V5R2,"matmul(T_AB,T_CD)",190.41528606414795,193.0687861442566,"[3000, 3000, 3000, 3000, 3000]",1
V5R3,"matmul(A,B)",193.08434200286865,195.73464703559875,"[3000, 3000, 3000, 3000, 3000]",1
V5R3,"matmul(C,D)",195.73464703559875,198.37487196922302,"[3000, 3000, 3000, 3000, 3000]",1
V5R3,"matmul(T_AB,T_CD)",198.37487196922302,201.04707407951355,"[3000, 3000, 3000, 3000, 3000]",1
V5R4,"matmul(A,B)",201.06231904029846,203.99347805976868,"[3000, 3000, 3000, 3000, 3000]",1
V5R4,"matmul(C,D)",203.99347805976868,206.93556904792786,"[3000, 3000, 3000, 3000, 3000]",1
V5R4,"matmul(T_AB,T_CD)",206.93556904792786,209.62931609153748,"[3000, 3000, 3000, 3000, 3000]",1
