ID,Operation,Start time,End time,Dims,Num Threads
V4R4,"matmul(A,T_BCD)",00:31:54,00:32:25,"[3000, 3000, 3000, 3000, 3000]",1
V5R0,"matmul(A,B)",00:32:30,00:33:02,"[3000, 3000, 3000, 3000, 3000]",1
V5R0,"matmul(C,D)",00:33:02,00:33:33,"[3000, 3000, 3000, 3000, 3000]",1
V5R0,"matmul(T_AB,T_CD)",00:33:33,00:34:06,"[3000, 3000, 3000, 3000, 3000]",1
V5R1,"matmul(A,B)",00:34:06,00:34:37,"[3000, 3000, 3000, 3000, 3000]",1
V5R1,"matmul(C,D)",00:34:37,00:35:08,"[3000, 3000, 3000, 3000, 3000]",1
V5R1,"matmul(T_AB,T_CD)",00:35:08,00:35:40,"[3000, 3000, 3000, 3000, 3000]",1
V5R2,"matmul(A,B)",00:35:40,00:36:11,"[3000, 3000, 3000, 3000, 3000]",1
V5R2,"matmul(C,D)",00:36:11,00:36:44,"[3000, 3000, 3000, 3000, 3000]",1
V5R2,"matmul(T_AB,T_CD)",00:36:44,00:37:16,"[3000, 3000, 3000, 3000, 3000]",1
V5R3,"matmul(A,B)",00:37:17,00:37:49,"[3000, 3000, 3000, 3000, 3000]",1
V5R3,"matmul(C,D)",00:37:49,00:38:32,"[3000, 3000, 3000, 3000, 3000]",1
V5R3,"matmul(T_AB,T_CD)",00:38:32,00:39:05,"[3000, 3000, 3000, 3000, 3000]",1
V5R4,"matmul(A,B)",00:39:05,00:39:40,"[3000, 3000, 3000, 3000, 3000]",1
V5R4,"matmul(C,D)",00:39:40,00:40:13,"[3000, 3000, 3000, 3000, 3000]",1
V5R4,"matmul(T_AB,T_CD)",00:40:13,00:40:51,"[3000, 3000, 3000, 3000, 3000]",1
