ID,Operation,Start time,End time,Dims,Num Threads
V1R0,b = tmp24,75.72755002975464,75.72755694389343,"[2500, 500]",1
V1R1,(L7 L7^T) = M,75.74811005592346,77.535227060318,"[2500, 500]",1
V1R1,tmp68 = (L7^-1 y),77.535227060318,82.50364089012146,"[2500, 500]",1
V1R1,tmp12 = (L7^-1 X),82.50364089012146,87.65832901000977,"[2500, 500]",1
V1R1,tmp14 = (tmp12^T tmp12),87.65832901000977,87.78684997558594,"[2500, 500]",1
V1R1,tmp21 = (tmp12^T tmp68),87.78684997558594,87.78685593605042,"[2500, 500]",1
V1R1,(L15 L15^T) = tmp14,87.78685593605042,87.80478096008301,"[2500, 500]",1
V1R1,tmp23 = (L15^-1 tmp21),87.80478096008301,87.89445304870605,"[2500, 500]",1
V1R1,tmp24 = (L15^-T tmp23),87.89445304870605,87.95283889770508,"[2500, 500]",1
V1R1,b = tmp24,87.95283889770508,87.95284390449524,"[2500, 500]",1
V1R2,(L7 L7^T) = M,87.96802401542664,89.0814299583435,"[2500, 500]",1
V1R2,tmp68 = (L7^-1 y),89.0814299583435,93.90323209762573,"[2500, 500]",1
V1R2,tmp12 = (L7^-1 X),93.90323209762573,99.08711004257202,"[2500, 500]",1
V1R2,tmp14 = (tmp12^T tmp12),99.08711004257202,99.2251570224762,"[2500, 500]",1
V1R2,tmp21 = (tmp12^T tmp68),99.2251570224762,99.2251660823822,"[2500, 500]",1
V1R2,(L15 L15^T) = tmp14,99.2251660823822,99.24990200996399,"[2500, 500]",1
V1R2,tmp23 = (L15^-1 tmp21),99.24990200996399,99.38500905036926,"[2500, 500]",1
V1R2,tmp24 = (L15^-T tmp23),99.38500905036926,99.49292492866516,"[2500, 500]",1
V1R2,b = tmp24,99.49292492866516,99.49293088912964,"[2500, 500]",1
V1R3,(L7 L7^T) = M,99.51013994216919,101.24821209907532,"[2500, 500]",1
V1R3,tmp68 = (L7^-1 y),101.24821209907532,106.46782493591309,"[2500, 500]",1
V1R3,tmp12 = (L7^-1 X),106.46782493591309,111.54607701301575,"[2500, 500]",1
V1R3,tmp14 = (tmp12^T tmp12),111.54607701301575,111.63785696029663,"[2500, 500]",1
V1R3,tmp21 = (tmp12^T tmp68),111.63785696029663,111.63786101341248,"[2500, 500]",1
V1R3,(L15 L15^T) = tmp14,111.63786101341248,111.64863705635071,"[2500, 500]",1
V1R3,tmp23 = (L15^-1 tmp21),111.64863705635071,111.70014095306396,"[2500, 500]",1
V1R3,tmp24 = (L15^-T tmp23),111.70014095306396,111.7484838962555,"[2500, 500]",1
V1R3,b = tmp24,111.7484838962555,111.74848890304565,"[2500, 500]",1
V1R4,(L7 L7^T) = M,111.75963711738586,112.86993908882141,"[2500, 500]",1
